CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/31/2021,22:20,BROOKLYN,11234,40.626457,-73.918,"(40.626457, -73.918)",RALPH AVENUE,AVENUE K,,1,0,0,0,0,0,1,0,Driver Inexperience,Unspecified,,,,4403773,Sedan,Sedan,,,
04/14/2021,7:44,BROOKLYN,11234,40.607876,-73.92554,"(40.607876, -73.92554)",AVENUE U,RYDER STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4407930,Sedan,FDNY TRUCK,,,
04/14/2021,8:28,BROOKLYN,11234,,,,pennsylvania ave,belt parkway,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,,,4407739,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
03/30/2021,11:42,BROOKLYN,11234,40.610443,-73.93462,"(40.610443, -73.93462)",FILLMORE AVENUE,EAST 34 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4403283,Sedan,Bike,,,
04/17/2021,10:20,BROOKLYN,11234,40.619484,-73.918274,"(40.619484, -73.918274)",EAST 59 STREET,AVENUE N,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4408533,Sedan,Sedan,,,
04/15/2021,8:00,BROOKLYN,11234,40.608204,-73.920715,"(40.608204, -73.920715)",FLATBUSH AVENUE,AVENUE V,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4408524,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
04/15/2021,2:18,BROOKLYN,11234,40.6238,-73.92351,"(40.6238, -73.92351)",EAST 54 STREET,AVENUE L,,0,0,0,0,0,0,0,0,Unspecified,,,,,4408523,Sedan,,,,
04/15/2021,8:45,BROOKLYN,11234,40.624893,-73.934326,"(40.624893, -73.934326)",KINGS HIGHWAY,HUBBARD PLACE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4408528,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
04/14/2021,8:00,BROOKLYN,11234,40.60741,-73.926254,"(40.60741, -73.926254)",AVENUE U,EAST 38 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4408522,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/16/2021,10:00,BROOKLYN,11234,40.61919,-73.92302,"(40.61919, -73.92302)",AVENUE N,EAST 54 STREET,,0,0,0,0,0,0,0,0,,,,,,4408526,Sedan,,,,
04/15/2021,18:00,BROOKLYN,11234,40.635185,-73.92862,"(40.635185, -73.92862)",UTICA AVENUE,GLENWOOD ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4408531,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/16/2021,10:40,BROOKLYN,11234,40.635185,-73.92862,"(40.635185, -73.92862)",UTICA AVENUE,GLENWOOD ROAD,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,Unspecified,,,4408532,Sedan,Sedan,Sedan,,
04/15/2021,20:54,BROOKLYN,11234,40.60981,-73.92251,"(40.60981, -73.92251)",FLATBUSH AVENUE,AVENUE U,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4408517,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
04/18/2021,14:40,BROOKLYN,11234,40.61897,-73.92668,"(40.61897, -73.92668)",,,5009      AVENUE N,0,0,0,0,0,0,0,0,Unspecified,,,,,4408534,Station Wagon/Sport Utility Vehicle,,,,
07/17/2021,17:00,BROOKLYN,11234,40.619545,-73.91727,"(40.619545, -73.91727)",RALPH AVENUE,AVENUE N,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,4439257,Sedan,Station Wagon/Sport Utility Vehicle,,,
04/22/2021,11:00,BROOKLYN,11234,40.621685,-73.91199,"(40.621685, -73.91199)",,,1444      EAST 69 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4410397,Garbage or Refuse,Sedan,,,
04/22/2021,16:10,BROOKLYN,11234,40.628284,-73.91694,"(40.628284, -73.91694)",,,1067      EAST 73 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4410408,Station Wagon/Sport Utility Vehicle,,,,
04/22/2021,8:20,BROOKLYN,11234,,,,,,50        AVIATION ROAD,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4410403,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
04/20/2021,18:30,BROOKLYN,11234,40.62451,-73.92747,"(40.62451, -73.92747)",,,1945      UTICA AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4410412,Station Wagon/Sport Utility Vehicle,,,,
04/23/2021,19:58,BROOKLYN,11234,40.613194,-73.92631,"(40.613194, -73.92631)",FLATBUSH AVENUE,UTICA AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4410411,Pick-up Truck,Sedan,,,
04/19/2021,6:00,BROOKLYN,11234,,,,59 place,STRICKLAND AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4410401,Station Wagon/Sport Utility Vehicle,Bus,,,
04/21/2021,15:30,BROOKLYN,11234,40.62531,-73.918884,"(40.62531, -73.918884)",,,1145      EAST 59 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4410407,Sedan,Station Wagon/Sport Utility Vehicle,,,
04/23/2021,11:09,BROOKLYN,11234,40.635185,-73.92862,"(40.635185, -73.92862)",GLENWOOD ROAD,UTICA AVENUE,,1,0,0,0,0,0,1,0,Unspecified,,,,,4410405,Motorcycle,,,,
