2020 MODEL,BLIND SPOT WARNING,PEDESTRIAN DETECTION
Ford F-150,Optional,Standard
Chevrolet Silverado 1500,Optional,Optional
Ram 1500,Optional,Not Available
Nissan Rogue,Standard,Standard
Toyota RAV4,Optional,Standard
Honda CR-V,Optional,Standard
Toyota Camry,Optional,Standard
Chevrolet Equinox,Optional,Standard
Honda Civic,Not Available,Standard
Honda Accord,Optional,Standard
Toyota Corolla,Optional,Standard
Ford Escape,Standard,Standard
Ford Explorer,Standard,Standard
Toyota Highlander,Optional,Standard
Toyota Tacoma,Optional,Standard
